Sensor IP, Frame ID, range (m), azimuth (degrees), elevation (degrees), point time stamp (ns), frame time stamp (s), frame time stamp (us), intensity, r, g, b, point type, echo, laser row, laser col, scan direction, pixel row, pixel col, actual charge time (ns)
10.10.10.66, 1715, 20.4041, 13.7911, -4.96754, 38048, 1684951307, 817746, 2522, 0, 255, 0, 49169, FIRST_ECHO, 880, 1669, 0, 33, 115, 1280
10.10.10.66, 1715, 19.6135, 9.32202, -4.98473, 38180, 1684951307, 817746, 1383, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1541, 0, 32, 105, 1320
10.10.10.66, 1715, 18.6136, -0.4068, -5.00192, 38452, 1684951307, 817746, 793, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1269, 0, 32, 83, 2720
10.10.10.66, 1715, 18.4612, -5.00765, -4.99619, 38580, 1684951307, 817746, 881, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1141, 0, 31, 72, 1280
10.10.10.66, 1715, 18.3903, -9.57412, -4.98473, 38709, 1684951307, 817746, 832, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1013, 0, 31, 62, 1290
10.10.10.66, 1715, 18.2647, -14.0375, -4.96181, 38840, 1684951307, 817746, 1025, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 885, 0, 31, 52, 1310
10.10.10.66, 1715, 18.2494, -18.2372, -4.9389, 38968, 1684951307, 817746, 816, 0, 255, 0, 49169, FIRST_ECHO, 880, 765, 0, 31, 44, 1280
10.10.10.66, 1715, 18.3701, -28.4187, -4.84149, 39325, 1684951307, 817746, 586, 0, 255, 0, 49169, FIRST_ECHO, 880, 461, 0, 31, 24, 3570
10.10.10.66, 1715, 12.5726, -31.5356, -4.80139, 39455, 1684951307, 817746, 296, 0, 255, 0, 49169, FIRST_ECHO, 880, 365, 0, 31, 19, 1300
10.10.10.66, 1715, 12.9894, -30.5157, -4.81857, 41472, 1684951307, 817746, 289, 0, 255, 0, 49169, FIRST_ECHO, 880, 397, 0, 31, 21, 3300
10.10.10.66, 1715, 18.4198, -27.1009, -4.85868, 41608, 1684951307, 817746, 460, 0, 255, 0, 49169, FIRST_ECHO, 880, 501, 0, 31, 27, 1360
10.10.10.66, 1715, 18.2509, -23.3595, -4.89306, 41743, 1684951307, 817746, 598, 0, 255, 0, 49169, FIRST_ECHO, 880, 613, 0, 31, 34, 1350
10.10.10.66, 1715, 18.3405, -12.9431, -4.96754, 42075, 1684951307, 817746, 910, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 917, 0, 31, 54, 3320
10.10.10.66, 1715, 18.4486, -8.41102, -4.98473, 42206, 1684951307, 817746, 752, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1045, 0, 31, 64, 1310
10.10.10.66, 1715, 18.5618, -3.88465, -4.99619, 42334, 1684951307, 817746, 898, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1173, 0, 31, 75, 1280
10.10.10.66, 1715, 18.7479, 0.716197, -5.00192, 42462, 1684951307, 817746, 909, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1301, 0, 32, 86, 1280
10.10.10.66, 1715, 19.1203, 5.31132, -4.99619, 42590, 1684951307, 817746, 1175, 0, 255, 0, 1073791073, FIRST_ECHO, 880, 1429, 0, 32, 96, 1280
10.10.10.66, 1715, 20.6051, 14.9313, -4.95608, 42868, 1684951307, 817746, 2796, 0, 255, 0, 49169, FIRST_ECHO, 880, 1701, 0, 33, 117, 2780
10.10.10.66, 1715, 18.4552, 19.0623, -4.93317, 42997, 1684951307, 817746, 8612, 0, 255, 0, 49169, FIRST_ECHO, 880, 1821, 0, 33, 125, 1290
10.10.10.66, 1715, 18.0067, 22.8324, -4.89879, 43123, 1684951307, 817746, 2504, 0, 255, 0, 49201, FIRST_ECHO, 880, 1933, 0, 33, 133, 1260
10.10.10.66, 1715, 12.9585, 22.8324, -4.89879, 43123, 1684951307, 817746, 142, 0, 255, 0, 49202, SECOND_ECHO, 880, 1933, 0, 33, 133, 1260
10.10.10.66, 1715, 16.8483, 30.7908, -4.81285, 43424, 1684951307, 817746, 12716, 0, 255, 0, 49169, FIRST_ECHO, 880, 2173, 0, 34, 146, 3010
10.10.10.66, 1715, 16.1441, 33.6154, -4.77274, 43553, 1684951307, 817746, 7598, 0, 255, 0, 49169, FIRST_ECHO, 880, 2261, 0, 35, 151, 1290
10.10.10.66, 1715, 14.6791, 40.3993, -4.66961, 43958, 1684951307, 817746, 9184, 0, 255, 0, 49169, FIRST_ECHO, 880, 2469, 0, 35, 161, 4050
10.10.10.66, 1715, 14.5934, 40.1643, -4.67534, 44945, 1684951307, 817746, 6119, 0, 255, 0, 49169, FIRST_ECHO, 880, 2461, 0, 35, 161, 9870
10.10.10.66, 1715, 15.8234, 34.4061, -4.76128, 45291, 1684951307, 817746, 7023, 0, 255, 0, 49169, FIRST_ECHO, 880, 2285, 0, 35, 152, 3460
10.10.10.66, 1715, 16.8712, 31.5356, -4.80139, 45424, 1684951307, 817746, 8268, 0, 255, 0, 49169, FIRST_ECHO, 880, 2197, 0, 34, 148, 1330
10.10.10.66, 1715, 18.2565, 21.4859, -4.91025, 45805, 1684951307, 817746, 2344, 0, 255, 0, 49169, FIRST_ECHO, 880, 1893, 0, 33, 130, 3810
10.10.10.66, 1715, 19.7828, 17.1544, -4.94463, 45946, 1684951307, 817746, 1544, 0, 255, 0, 49201, FIRST_ECHO, 880, 1765, 0, 33, 122, 1410
10.10.10.66, 1715, 15.8667, 17.1544, -4.94463, 45946, 1684951307, 817746, 384, 0, 255, 0, 49202, SECOND_ECHO, 880, 1765, 0, 33, 122, 1410
10.10.10.66, 1715, 20.333, 12.9431, -4.96754, 46073, 1684951307, 817746, 1788, 0, 255, 0, 49169, FIRST_ECHO, 880, 1645, 0, 33, 113, 1270
10.10.10.66, 1715, 19.612, 8.46259, -4.98473, 46204, 1684951307, 817746, 1189, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 1517, 0, 32, 103, 1310
10.10.10.66, 1715, 18.9724, 3.88465, -4.99619, 46332, 1684951307, 817746, 1155, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1389, 0, 32, 93, 1280
10.10.10.66, 1715, 18.5543, -5.87282, -4.99619, 46604, 1684951307, 817746, 956, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1117, 0, 31, 70, 2720
10.10.10.66, 1715, 18.3762, -10.4336, -4.979, 46733, 1684951307, 817746, 919, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 989, 0, 31, 60, 1290
10.10.10.66, 1715, 18.3621, -14.8854, -4.96181, 46866, 1684951307, 817746, 832, 0, 255, 0, 49169, FIRST_ECHO, 880, 861, 0, 31, 50, 1330
10.10.10.66, 1715, 18.3158, -19.0165, -4.93317, 46994, 1684951307, 817746, 917, 0, 255, 0, 49169, FIRST_ECHO, 880, 741, 0, 31, 42, 1280
10.10.10.66, 1715, 18.4672, -28.138, -4.84722, 47315, 1684951307, 817746, 571, 0, 255, 0, 49169, FIRST_ECHO, 880, 469, 0, 31, 25, 3210
10.10.10.66, 1715, 12.6196, -31.2548, -4.80712, 47444, 1684951307, 817746, 228, 0, 255, 0, 49169, FIRST_ECHO, 880, 373, 0, 31, 19, 1290
10.10.10.66, 1715, 18.4287, -29.2094, -4.83003, 49526, 1684951307, 817746, 545, 0, 255, 0, 49169, FIRST_ECHO, 880, 437, 0, 31, 23, 4990
10.10.10.66, 1715, 18.3837, -25.7831, -4.87014, 49657, 1684951307, 817746, 484, 0, 255, 0, 49169, FIRST_ECHO, 880, 541, 0, 31, 29, 1310
10.10.10.66, 1715, 18.3159, -22.0188, -4.90452, 49789, 1684951307, 817746, 545, 0, 255, 0, 49169, FIRST_ECHO, 880, 653, 0, 31, 36, 1320
10.10.10.66, 1715, 18.3641, -13.7911, -4.96754, 50050, 1684951307, 817746, 651, 0, 255, 0, 1073791201, FIRST_ECHO, 880, 893, 0, 31, 53, 2610
10.10.10.66, 1715, 18.4238, -9.27046, -4.98473, 50182, 1684951307, 817746, 805, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1021, 0, 31, 63, 1320
10.10.10.66, 1715, 18.5925, -4.69825, -4.99619, 50310, 1684951307, 817746, 840, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1149, 0, 31, 73, 1280
10.10.10.66, 1715, 18.7411, -0.148969, -5.00192, 50438, 1684951307, 817746, 837, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1277, 0, 32, 84, 1280
10.10.10.66, 1715, 19.8037, 9.57412, -4.98473, 50711, 1684951307, 817746, 1052, 0, 255, 0, 1073790977, FIRST_ECHO, 880, 1549, 0, 32, 106, 2730
10.10.10.66, 1715, 20.4859, 14.089, -4.96181, 50843, 1684951307, 817746, 2809, 0, 255, 0, 49169, FIRST_ECHO, 880, 1677, 0, 33, 115, 1320
10.10.10.66, 1715, 17.5272, 18.2372, -4.9389, 50970, 1684951307, 817746, 7163, 0, 255, 0, 49201, FIRST_ECHO, 880, 1797, 0, 33, 124, 1270
10.10.10.66, 1715, 15.817, 18.2372, -4.9389, 50970, 1684951307, 817746, 266, 0, 255, 0, 49202, SECOND_ECHO, 880, 1797, 0, 33, 124, 1270
10.10.10.66, 1715, 18.0896, 22.3052, -4.90452, 51104, 1684951307, 817746, 10768, 0, 255, 0, 49169, FIRST_ECHO, 880, 1917, 0, 33, 131, 1340
10.10.10.66, 1715, 16.9466, 31.3064, -4.80712, 51447, 1684951307, 817746, 12611, 0, 255, 0, 49169, FIRST_ECHO, 880, 2189, 0, 34, 147, 3430
10.10.10.66, 1715, 16.2028, 34.1712, -4.76701, 51578, 1684951307, 817746, 5869, 0, 255, 0, 49169, FIRST_ECHO, 880, 2277, 0, 35, 152, 1310
10.10.10.66, 1715, 14.6638, 39.8779, -4.67534, 51917, 1684951307, 817746, 9489, 0, 255, 0, 49201, FIRST_ECHO, 880, 2453, 0, 35, 161, 3390
10.10.10.66, 1715, 14.8595, 39.5971, -4.68107, 52985, 1684951307, 817746, 3878, 0, 255, 0, 49169, FIRST_ECHO, 880, 2445, 0, 35, 160, 10680
10.10.10.66, 1715, 16.126, 34.9103, -4.75555, 53265, 1684951307, 817746, 4972, 0, 255, 0, 49169, FIRST_ECHO, 880, 2301, 0, 35, 153, 2800
10.10.10.66, 1715, 17.8345, 29.7251, -4.8243, 53502, 1684951307, 817746, 10125, 0, 255, 0, 49201, FIRST_ECHO, 880, 2141, 0, 34, 145, 2370
